x,y
9.64175,6.3979197
8.927368,5.769536
3.7003639,12.285999
7.845405,9.764247
1.8712527,10.404892
3.0819871,9.154399
9.853845,6.470894
7.0421214,10.206369
-0.04484105,8.516502
1.1160347,9.904547
9.447303,6.718648
9.891571,5.6010942
5.7587748,10.887185
4.9820876,11.651101
5.678071,8.11473
2.0570855,11.150673
0.9404318,9.923171
9.846386,6.062733
3.6864295,12.358472
1.0777203,10.187812
6.5881333,7.7460365
2.9506156,8.869362
1.0632892,9.799935
2.1497157,11.174874
3.4917088,8.826611
4.484419,9.05896
9.700122,7.2480216
6.22666,7.9212766
4.48297,11.516924
5.6565967,8.601717
1.1508638,10.076257
1.834911,10.1240225
7.574232,7.9968767
5.055728,11.580513
6.875374,10.380903
4.454063,11.654319
9.130755,5.3884587
5.6058598,8.694884
9.180916,8.009023
2.881172,11.994566
9.643474,5.562176
9.821905,5.8576717
6.110286,12.346292
7.9334393,7.2714624
3.3555615,12.040843
8.214532,6.340235
9.331188,5.813157
3.1471088,9.459233
1.35901,10.955421
2.234603,11.236572
7.2959523,7.306553
9.086837,8.425035
4.9770126,10.956705
7.9201846,10.084584
4.3778286,8.689695
9.841423,5.9161906
4.410241,9.001068
6.66258,10.197158
6.160457,12.231177
6.8576508,9.78838
7.0079303,10.27427
1.2477945,10.569891
1.1377246,10.453998
-0.21408191,8.350285
6.4352136,10.465628
4.0698133,11.438312
3.8966117,8.877324
9.344489,7.0599375
9.604886,7.6703963
9.421084,8.103051
1.6507668,9.215788
3.1126626,9.15904
9.183443,8.5906925
1.6770582,10.804958
1.4383582,10.463889
7.043242,7.5461583
9.414488,7.25589
3.3219867,12.201953
7.8288064,7.054012
4.957342,11.563729
3.0062191,11.948187
7.4159575,9.665076
7.437423,10.33854
4.9845815,10.9707775
1.9639868,10.451236
9.752141,5.5483613
8.929007,8.758384
6.320105,11.666323
4.4967756,11.832295
4.419885,12.020844
7.5430303,7.931906
8.700426,6.0203557
9.454705,8.374275
9.407842,8.149092
-0.041781355,8.518784
6.853891,9.713789
6.3165803,10.751367
5.619574,11.398408
1.2154088,10.450952
-0.111615315,8.450069
